#query	target	e-value	identity (%)	score
YAL001C				
YKL061W				
YKL062W	Paxin1_138635	2e-17	42%	84.0
YKL062W	Paxin1_86770	2e-14	58%	69.3
YKL062W	Paxin1_110857	8e-14	54%	73.9
YKL062W	Paxin1_83471	2e-12	57%	62.8
YKL063C				
YKL064W	Paxin1_108678	5e-83	47%	274
YKL064W	Paxin1_95290	2e-40	33%	158
YKL065C				
YKL065W-A				
YKL066W				
YKL067W	Paxin1_168030	8e-62	55%	186
YKL068W	Paxin1_166486	6e-32	30%	133
YKL068W-A				
YKL069W	Paxin1_118741	6e-41	41%	136
YKL069W	Paxin1_177583	6e-15	30%	68.6
YKL070W				
YKL071W	Paxin1_167559	4e-19	29%	82.4
YKL072W	Paxin1_166206	3e-22	27%	101
YKL073W	Paxin1_173179	5e-66	32%	236
YKL073W	Paxin1_22706	1e-34	26%	140
YKL073W	Paxin1_162475	2e-30	24%	127
YKL073W	Paxin1_167442	2e-26	23%	114
YKL073W	Paxin1_73182	4e-25	24%	110
YKL074C				
YKL075C				
YKL076C				
YKL077W				
YKL078W	Paxin1_96688	5e-151	41%	454
YKL078W	Paxin1_98324	1e-140	37%	427
YKL078W	Paxin1_166638	1e-139	39%	428
YKL078W	Paxin1_6118	4e-126	36%	402
YKL078W	Paxin1_101199	6e-116	36%	366
YKL079W	Paxin1_168086	6e-44	32%	168
YKL079W	Paxin1_166165	9e-28	29%	118
YKL079W	Paxin1_166017	4e-27	29%	117
YKL079W	Paxin1_112407	5e-26	28%	113
YKL079W	Paxin1_171676	1e-21	27%	98.6
YKL080W	Paxin1_164954	2e-64	39%	207
YKL081W	Paxin1_71927	2e-59	37%	197
YKL082C	Paxin1_113714	3e-12	32%	67.0
YKL083W				
YKL084W				
YKL085W	Paxin1_173006	5e-138	59%	394
YKL085W	Paxin1_9338	6e-118	55%	343
YKL086W				
YKL087C	Paxin1_93052	9e-56	45%	176
YKL087C	Paxin1_73953	1e-55	45%	176
YKL087C	Paxin1_65861	2e-28	33%	105
YKL088W	Paxin1_72561	1e-40	45%	144
YKL089W	Paxin1_168316	2e-13	25%	71.6
YKL090W				
YKL091C	Paxin1_67765	8e-84	46%	253
YKL091C	Paxin1_167671	3e-48	34%	163
YKL091C	Paxin1_115246	6e-29	29%	112
YKL091C	Paxin1_104059	2e-12	27%	66.2
YKL091C	Paxin1_160229	2e-12	25%	64.3
YKL092C	Paxin1_178071	3e-23	24%	105
YKL093W				
YKL094W				
YKL095W	Paxin1_175677	2e-30	37%	114
YKL096C-B				
YKL096W				
YKL096W-A				
YKL097C				
YKL098W				
YKL099C	Paxin1_64835	1e-31	30%	117
YKL100C	Paxin1_166824	6e-32	25%	127
YKL100W-A				
YKL101W	Paxin1_174169	5e-106	45%	354
YKL101W	Paxin1_76691	3e-94	44%	307
YKL101W	Paxin1_156431	8e-54	35%	205
YKL101W	Paxin1_100605	2e-52	33%	202
YKL101W	Paxin1_100499	2e-49	34%	181
YKL102C				
YKL103C	Paxin1_67584	4e-80	33%	256
YKL104C	Paxin1_163282	0.0	59%	882
YKL105C				
YKL106C-A				
YKL106W	Paxin1_165112	5e-94	38%	289
YKL106W	Paxin1_168282	5e-77	34%	245
YKL107W				
YKL108W				
YKL109W				
YKL110C	Paxin1_140938	8e-44	45%	148
YKL110C	Paxin1_121842	1e-43	41%	148
YKL110C	Paxin1_90551	7e-16	30%	73.6
YKL111C				
YKL112W				
YKL113C	Paxin1_111017	3e-145	56%	417
YKL113C	Paxin1_136131	2e-20	30%	92.4
YKL113C	Paxin1_171702	3e-20	37%	91.3
YKL113C	Paxin1_78636	2e-16	28%	78.6
YKL114C	Paxin1_98484	2e-86	42%	270
YKL115C				
YKL116C	Paxin1_174169	8e-25	28%	107
YKL116C	Paxin1_167119	6e-23	29%	101
YKL116C	Paxin1_168752	1e-22	37%	101
YKL116C	Paxin1_156431	3e-22	29%	100
YKL116C	Paxin1_76691	3e-21	29%	94.0
YKL117W	Paxin1_64441	1e-30	43%	111
YKL118W				
YKL119C				
YKL120W	Paxin1_165339	1e-89	50%	270
YKL120W	Paxin1_76244	2e-29	28%	113
YKL120W	Paxin1_165325	1e-26	31%	109
YKL120W	Paxin1_164949	3e-26	30%	104
YKL120W	Paxin1_120432	1e-21	25%	92.4
YKL121W				
YKL122C				
YKL123W				
YKL124W	Paxin1_105084	1e-35	31%	140
YKL125W	Paxin1_103486	8e-41	25%	157
YKL126W	Paxin1_171043	1e-174	54%	509
YKL126W	Paxin1_167709	2e-163	48%	480
YKL126W	Paxin1_160628	5e-109	53%	343
YKL126W	Paxin1_167852	1e-90	44%	304
YKL126W	Paxin1_169011	6e-75	42%	245
YKL127W	Paxin1_66616	0.0	55%	597
YKL128C	Paxin1_166544	2e-27	34%	106
YKL128C	Paxin1_166542	2e-26	32%	105
YKL129C	Paxin1_19902	0.0	57%	862
YKL129C	Paxin1_168015	3e-103	38%	360
YKL129C	Paxin1_168607	3e-61	30%	230
YKL129C	Paxin1_167130	2e-53	27%	204
YKL129C	Paxin1_85189	2e-27	29%	120
YKL130C				
YKL131W				
YKL132C	Paxin1_167784	1e-20	25%	92.8
YKL133C				
YKL134C	Paxin1_18719	4e-118	35%	367
YKL134C	Paxin1_95523	3e-112	36%	366
YKL134C	Paxin1_13791	4e-34	25%	138
YKL135C	Paxin1_170214	7e-154	41%	463
YKL135C	Paxin1_74034	1e-96	35%	314
YKL135C	Paxin1_163400	2e-38	29%	151
YKL136W				
YKL137W				
YKL138C	Paxin1_162226	2e-26	39%	94.4
YKL138C-A				
YKL139W	Paxin1_68344	3e-109	52%	333
YKL139W	Paxin1_5770	4e-75	40%	243
YKL139W	Paxin1_134877	3e-72	39%	246
YKL139W	Paxin1_166586	1e-68	41%	221
YKL139W	Paxin1_173312	4e-59	35%	200
YKL140W	Paxin1_76947	2e-130	45%	387
YKL141W	Paxin1_168213	9e-23	42%	89.4
YKL142W				
YKL143W	Paxin1_165416	7e-27	31%	112
YKL144C	Paxin1_165888	2e-34	31%	121
YKL145W	Paxin1_167990	0.0	75%	704
YKL145W	Paxin1_103492	1e-103	54%	314
YKL145W	Paxin1_134006	1e-103	54%	314
YKL145W	Paxin1_165768	3e-103	47%	313
YKL145W	Paxin1_81037	4e-101	53%	308
YKL145W-A				
YKL146W	Paxin1_170470	3e-134	41%	411
YKL147C				
YKL148C	Paxin1_168296	0.0	73%	966
YKL149C	Paxin1_171888	3e-82	40%	258
YKL150W	Paxin1_165458	1e-64	37%	205
YKL150W	Paxin1_5748	7e-38	32%	138
YKL150W	Paxin1_174514	9e-31	27%	117
YKL150W	Paxin1_76742	1e-29	30%	117
YKL151C	Paxin1_160400	2e-57	36%	188
YKL152C				
YKL153W				
YKL154W				
YKL155C				
YKL156C-A				
YKL156W	Paxin1_165006	8e-38	67%	120
YKL157W	Paxin1_168050	1e-173	35%	530
YKL159C				
YKL160W	Paxin1_175877	4e-21	47%	81.3
YKL161C	Paxin1_162977	4e-126	46%	371
YKL161C	Paxin1_66834	5e-91	42%	281
YKL161C	Paxin1_168917	3e-86	44%	267
YKL161C	Paxin1_162910	6e-85	45%	263
YKL161C	Paxin1_172848	6e-79	40%	248
YKL162C				
YKL162C-A				
YKL163W				
YKL164C				
YKL165C	Paxin1_167534	0.0	39%	618
YKL165C-A				
YKL166C	Paxin1_169011	1e-129	56%	377
YKL166C	Paxin1_175743	1e-91	46%	279
YKL166C	Paxin1_171043	1e-81	42%	259
YKL166C	Paxin1_167709	7e-79	44%	252
YKL166C	Paxin1_167852	2e-73	42%	247
YKL167C				
YKL168C	Paxin1_63249	2e-49	36%	177
YKL168C	Paxin1_74230	8e-36	32%	139
YKL168C	Paxin1_76691	4e-22	29%	97.8
YKL168C	Paxin1_174169	2e-20	31%	95.1
YKL168C	Paxin1_173243	9e-19	31%	88.2
YKL169C				
YKL170W	Paxin1_75450	3e-11	45%	55.5
YKL171W	Paxin1_12239	9e-17	29%	84.3
YKL172W	Paxin1_167575	3e-38	38%	142
YKL173W	Paxin1_165449	0.0	35%	578
YKL173W	Paxin1_165289	6e-89	27%	302
YKL173W	Paxin1_162006	3e-27	23%	118
YKL174C	Paxin1_129253	2e-73	32%	243
YKL174C	Paxin1_164637	2e-53	28%	188
YKL174C	Paxin1_165834	4e-29	25%	120
YKL174C	Paxin1_129948	4e-29	23%	120
YKL174C	Paxin1_97896	6e-29	24%	120
YKL175W				
YKL176C				
YKL177W				
YKL178C	Paxin1_166532	4e-24	25%	102
YKL178C	Paxin1_171927	1e-22	25%	98.6
YKL178C	Paxin1_88958	1e-19	24%	88.6
YKL178C	Paxin1_88945	3e-19	24%	87.4
YKL178C	Paxin1_88955	4e-18	24%	84.0
YKL179C	Paxin1_172520	5e-74	29%	252
YKL179C	Paxin1_172652	2e-71	29%	244
YKL180W	Paxin1_130053	5e-60	52%	184
YKL181W	Paxin1_165159	5e-62	46%	202
YKL182W	Paxin1_163634	0.0	44%	1752
YKL183C-A				
YKL183W				
YKL184W	Paxin1_15604	5e-112	45%	338
YKL184W	Paxin1_15605	7e-27	44%	104
YKL185W				
YKL186C				
YKL187C				
YKL188C	Paxin1_164974	3e-118	34%	374
YKL188C	Paxin1_115807	7e-72	30%	251
YKL189W	Paxin1_75955	3e-58	33%	192
YKL190W	Paxin1_166048	6e-74	59%	218
YKL190W	Paxin1_107938	7e-25	35%	94.4
YKL190W	Paxin1_168760	6e-16	31%	70.1
YKL191W	Paxin1_103950	4e-60	31%	206
YKL192C	Paxin1_165098	6e-15	44%	65.1
YKL193C	Paxin1_117785	3e-74	50%	233
YKL194C	Paxin1_168488	1e-120	43%	368
YKL195W	Paxin1_33362	1e-40	69%	142
YKL196C	Paxin1_117888	3e-76	54%	226
YKL197C	Paxin1_167524	5e-114	42%	374
YKL197C	Paxin1_175808	1e-61	42%	226
YKL197C	Paxin1_165843	9e-58	31%	213
YKL197C	Paxin1_134976	4e-56	34%	206
YKL197C	Paxin1_155829	6e-54	28%	202
YKL198C	Paxin1_63249	6e-27	29%	112
YKL198C	Paxin1_74230	2e-23	29%	102
YKL198C	Paxin1_174169	2e-17	29%	85.9
YKL198C	Paxin1_173243	3e-15	37%	77.0
YKL198C	Paxin1_92358	3e-14	31%	74.3
YKL201C				
YKL202W				
YKL203C	Paxin1_160370	0.0	45%	2083
YKL203C	Paxin1_174826	1e-50	32%	198
YKL203C	Paxin1_125515	1e-44	31%	178
YKL204W				
YKL205W	Paxin1_79622	1e-52	22%	200
YKL206C				
YKL207W	Paxin1_67573	4e-44	36%	149
YKL208W				
YKL209C	Paxin1_167711	2e-122	27%	411
YKL209C	Paxin1_167550	2e-115	27%	391
YKL209C	Paxin1_111294	8e-115	27%	389
YKL209C	Paxin1_132547	5e-90	30%	318
YKL209C	Paxin1_133652	3e-52	27%	192
YKL210W	Paxin1_7243	0.0	54%	1090
YKL210W	Paxin1_76524	3e-53	32%	197
YKL210W	Paxin1_168356	2e-28	38%	119
YKL210W	Paxin1_111434	7e-22	32%	97.4
YKL210W	Paxin1_137476	3e-13	31%	72.0
YKL211C	Paxin1_133442	4e-177	53%	516
YKL211C	Paxin1_165359	7e-20	31%	92.0
YKL211C	Paxin1_76223	7e-19	29%	88.6
YKL212W	Paxin1_104780	1e-137	39%	416
YKL212W	Paxin1_162333	7e-60	32%	215
YKL212W	Paxin1_67439	9e-58	35%	209
YKL212W	Paxin1_175376	3e-39	26%	153
YKL213C	Paxin1_168431	3e-128	35%	399
YKL213C	Paxin1_121987	6e-19	33%	87.0
YKL213C	Paxin1_47022	3e-18	29%	87.0
YKL213C	Paxin1_26950	4e-18	29%	83.6
YKL213C	Paxin1_118032	9e-18	31%	86.3
YKL214C				
YKL215C	Paxin1_172770	0.0	48%	692
YKL215C	Paxin1_168764	0.0	51%	572
YKL216W	Paxin1_173595	2e-17	27%	80.5
YKL216W	Paxin1_174148	1e-16	25%	79.3
YKL217W	Paxin1_89314	1e-73	35%	243
YKL217W	Paxin1_170854	2e-73	35%	243
YKL217W	Paxin1_181415	5e-19	30%	83.6
YKL218C	Paxin1_97439	9e-47	34%	164
YKL218C	Paxin1_155804	3e-36	27%	136
YKL219W				
YKL220C	Paxin1_92374	3e-30	26%	123
YKL220C	Paxin1_14571	2e-28	25%	120
YKL220C	Paxin1_82571	2e-28	25%	119
YKL220C	Paxin1_20700	3e-28	26%	117
YKL220C	Paxin1_22206	1e-26	26%	112
YKL221W	Paxin1_168028	2e-23	26%	101
YKL221W	Paxin1_170132	9e-17	25%	80.9
YKL221W	Paxin1_168761	5e-15	24%	75.9
YKL221W	Paxin1_112537	7e-13	27%	68.9
YKL221W	Paxin1_138798	5e-12	26%	66.2
YKL222C				
YKL223W				
YKL224C				
YKL225W				
YKR001C	Paxin1_167903	0.0	59%	797
YKR001C	Paxin1_160431	9e-122	38%	379
YKR001C	Paxin1_163428	5e-44	37%	169
YKR001C	Paxin1_120297	1e-35	26%	141
YKR001C	Paxin1_171173	6e-35	29%	140
YKR002W	Paxin1_163709	0.0	49%	529
YKR003W	Paxin1_164455	1e-85	42%	266
YKR003W	Paxin1_161641	3e-30	30%	119
YKR003W	Paxin1_114163	4e-25	32%	108
YKR003W	Paxin1_169288	6e-23	29%	100
YKR003W	Paxin1_165033	1e-17	27%	84.3
YKR004C				
YKR005C				
YKR006C				
YKR007W				
YKR008W	Paxin1_6165	6e-13	26%	70.9
YKR008W	Paxin1_164904	8e-11	31%	64.3
YKR009C	Paxin1_163828	0.0	45%	743
YKR009C	Paxin1_10895	2e-25	30%	107
YKR009C	Paxin1_159494	1e-21	38%	95.1
YKR009C	Paxin1_132405	4e-20	27%	91.7
YKR009C	Paxin1_168725	3e-19	26%	87.4
YKR010C				
YKR011C				
YKR012C				
YKR013W	Paxin1_96589	4e-14	34%	68.6
YKR014C	Paxin1_103177	8e-61	52%	189
YKR014C	Paxin1_64321	2e-60	48%	189
YKR014C	Paxin1_74227	6e-44	37%	146
YKR014C	Paxin1_170075	3e-39	33%	134
YKR014C	Paxin1_164865	1e-31	33%	114
YKR015C				
YKR016W				
YKR017C	Paxin1_20127	3e-75	31%	248
YKR017C	Paxin1_83865	2e-20	30%	94.7
YKR017C	Paxin1_171600	3e-20	31%	94.0
YKR017C	Paxin1_77956	4e-20	32%	91.7
YKR017C	Paxin1_120094	7e-14	29%	73.2
YKR018C	Paxin1_168144	6e-22	22%	100
YKR019C				
YKR020W				
YKR021W	Paxin1_169007	5e-18	25%	88.2
YKR022C				
YKR023W				
YKR024C	Paxin1_92346	1e-106	37%	341
YKR024C	Paxin1_103435	6e-95	36%	313
YKR024C	Paxin1_173192	9e-59	31%	207
YKR024C	Paxin1_180262	1e-47	29%	180
YKR024C	Paxin1_166208	5e-44	27%	167
YKR025W				
YKR026C	Paxin1_112327	1e-57	36%	188
YKR026C	Paxin1_166241	1e-12	28%	67.0
YKR026C	Paxin1_166988	3e-11	24%	62.4
YKR027W	Paxin1_169285	1e-15	23%	80.1
YKR028W	Paxin1_168212	1e-33	29%	139
YKR029C	Paxin1_9133	1e-13	49%	72.8
YKR029C	Paxin1_58298	9e-11	31%	59.7
YKR030W	Paxin1_115140	2e-41	36%	142
YKR030W	Paxin1_94638	1e-16	42%	73.6
YKR031C	Paxin1_111247	0.0	50%	588
YKR031C	Paxin1_166722	5e-96	40%	329
YKR032W				
YKR033C				
YKR034W	Paxin1_128057	2e-19	66%	87.0
YKR034W	Paxin1_171258	5e-17	60%	79.7
YKR034W	Paxin1_163968	3e-14	59%	71.2
YKR035C				
YKR035W-A	Paxin1_166422	8e-63	54%	192
YKR036C	Paxin1_64281	2e-62	32%	218
YKR036C	Paxin1_98660	1e-21	27%	99.0
YKR036C	Paxin1_83342	5e-20	26%	92.8
YKR036C	Paxin1_66430	8e-20	28%	92.4
YKR036C	Paxin1_8359	2e-18	26%	85.5
YKR037C				
YKR038C	Paxin1_159710	2e-164	62%	464
YKR038C	Paxin1_177058	1e-17	27%	82.8
YKR039W	Paxin1_165046	8e-110	38%	339
YKR039W	Paxin1_168793	9e-104	39%	323
YKR039W	Paxin1_6905	1e-103	36%	323
YKR039W	Paxin1_6870	5e-100	35%	315
YKR039W	Paxin1_66349	9e-100	35%	312
YKR040C				
YKR041W				
YKR042W				
YKR043C	Paxin1_165234	9e-45	33%	149
YKR044W				
YKR045C				
YKR046C				
YKR047W				
YKR048C	Paxin1_162844	7e-75	41%	238
YKR049C				
YKR050W	Paxin1_99462	2e-103	44%	342
YKR051W	Paxin1_76274	5e-68	37%	219
YKR051W	Paxin1_69057	2e-15	27%	76.6
YKR052C	Paxin1_165693	7e-92	49%	274
YKR052C	Paxin1_168848	3e-24	30%	98.6
YKR052C	Paxin1_120432	3e-20	26%	87.8
YKR052C	Paxin1_167842	6e-20	25%	87.4
YKR052C	Paxin1_167610	3e-19	30%	82.8
YKR053C	Paxin1_169324	2e-46	28%	165
YKR054C	Paxin1_5609	0.0	35%	1721
YKR054C	Paxin1_169564	2e-57	21%	219
YKR055W	Paxin1_162132	2e-56	49%	180
YKR055W	Paxin1_170639	7e-55	48%	175
YKR055W	Paxin1_165088	8e-52	47%	167
YKR055W	Paxin1_73486	1e-49	46%	162
YKR055W	Paxin1_161593	4e-47	49%	156
YKR056W	Paxin1_115593	6e-107	39%	333
YKR057W	Paxin1_168333	8e-39	67%	123
YKR058W	Paxin1_165380	3e-37	34%	147
YKR059W	Paxin1_11322	0.0	68%	536
YKR059W	Paxin1_108322	0.0	67%	533
YKR059W	Paxin1_168904	4e-95	41%	292
YKR059W	Paxin1_13729	2e-88	38%	274
YKR059W	Paxin1_21150	3e-82	72%	248
YKR060W	Paxin1_154414	2e-15	29%	75.5
YKR061W	Paxin1_112419	6e-104	46%	312
YKR061W	Paxin1_93790	2e-94	48%	284
YKR061W	Paxin1_162287	4e-93	45%	281
YKR061W	Paxin1_96849	6e-60	50%	194
YKR061W	Paxin1_140237	5e-33	47%	121
YKR062W	Paxin1_7586	4e-22	27%	92.8
YKR063C	Paxin1_139828	9e-25	41%	106
YKR063C	Paxin1_120833	3e-24	41%	104
YKR064W				
YKR065C	Paxin1_98638	4e-43	42%	142
YKR066C	Paxin1_164804	2e-80	50%	249
YKR066C	Paxin1_118698	7e-22	52%	90.9
YKR067W	Paxin1_168062	2e-129	37%	401
YKR067W	Paxin1_167112	8e-19	24%	90.1
YKR067W	Paxin1_175264	2e-18	22%	88.6
YKR068C	Paxin1_168256	1e-75	53%	224
YKR069W	Paxin1_116808	3e-78	36%	259
YKR070W	Paxin1_166974	4e-70	38%	222
YKR071C	Paxin1_68376	1e-18	35%	84.3
YKR072C	Paxin1_72561	1e-34	45%	127
YKR073C				
YKR074W	Paxin1_175802	1e-37	48%	124
YKR075C				
YKR075W-A				
YKR076W	Paxin1_138020	1e-102	44%	305
YKR077W				
YKR078W				
YKR079C	Paxin1_172647	1e-48	27%	184
YKR080W	Paxin1_7773	8e-92	43%	283
YKR080W	Paxin1_168079	2e-15	24%	76.3
YKR081C	Paxin1_176864	4e-80	45%	247
YKR082W				
YKR083C				
YKR084C	Paxin1_160566	1e-74	34%	243
YKR084C	Paxin1_65274	2e-63	30%	215
YKR084C	Paxin1_67099	4e-61	30%	211
YKR084C	Paxin1_165106	1e-18	24%	87.8
YKR085C				
YKR086W	Paxin1_64876	0.0	56%	654
YKR086W	Paxin1_6118	0.0	46%	573
YKR086W	Paxin1_166638	0.0	45%	564
YKR086W	Paxin1_104185	7e-163	47%	490
YKR086W	Paxin1_101199	3e-161	41%	494
YKR087C	Paxin1_179904	2e-40	29%	144
YKR088C	Paxin1_166650	1e-19	29%	88.6
YKR088C	Paxin1_107973	2e-19	29%	85.5
YKR089C	Paxin1_174571	7e-67	32%	239
YKR090W	Paxin1_131354	2e-16	30%	82.4
YKR091W				
YKR092C				
YKR093W	Paxin1_14579	2e-129	40%	391
YKR094C	Paxin1_5754	5e-50	99%	154
YKR094C	Paxin1_165728	7e-49	99%	152
YKR094C	Paxin1_82237	5e-48	97%	155
YKR094C	Paxin1_91823	5e-47	99%	145
YKR094C	Paxin1_172172	2e-37	81%	131
YKR095W	Paxin1_154225	6e-52	23%	201
YKR095W-A				
YKR096W				
YKR097W	Paxin1_166887	0.0	66%	740
YKR098C	Paxin1_6781	1e-25	25%	112
YKR098C	Paxin1_165689	2e-11	26%	66.6
YKR099W	Paxin1_104614	7e-27	50%	116
YKR100C				
YKR101W				
YKR102W				
YKR103W	Paxin1_163907	4e-101	25%	352
YKR103W	Paxin1_164142	2e-98	25%	343
YKR103W	Paxin1_80058	2e-97	25%	338
YKR103W	Paxin1_106999	5e-97	27%	339
YKR103W	Paxin1_79832	9e-80	26%	285
YKR104W	Paxin1_164142	1e-78	43%	259
YKR104W	Paxin1_169871	2e-72	42%	241
YKR104W	Paxin1_169874	4e-70	42%	234
YKR104W	Paxin1_163907	6e-69	39%	231
YKR104W	Paxin1_106999	2e-65	41%	221
YKR105C	Paxin1_88612	1e-40	27%	154
YKR105C	Paxin1_181939	1e-39	25%	151
YKR105C	Paxin1_83157	7e-39	26%	149
YKR105C	Paxin1_75182	8e-37	26%	143
YKR105C	Paxin1_83144	2e-35	26%	140
YKR106W	Paxin1_63937	2e-55	28%	197
YKR106W	Paxin1_160604	6e-14	24%	73.6
YKR106W	Paxin1_181939	2e-11	24%	65.5
YKR106W	Paxin1_88612	3e-11	22%	65.1
YKR106W	Paxin1_100865	3e-11	25%	65.1
YLL001W	Paxin1_160431	0.0	40%	553
YLL001W	Paxin1_167903	0.0	41%	536
YLL001W	Paxin1_163428	8e-44	35%	169
YLL001W	Paxin1_171173	9e-35	25%	140
YLL001W	Paxin1_171186	2e-33	25%	137
YLL002W				
YLL003W				
YLL004W				
YLL005C	Paxin1_76693	2e-44	23%	172
YLL005C	Paxin1_168774	6e-24	22%	107
YLL006W	Paxin1_172720	2e-16	23%	78.6
YLL006W-A				
YLL007C				
YLL008W	Paxin1_173799	7e-164	41%	491
YLL008W	Paxin1_113041	5e-80	39%	262
YLL008W	Paxin1_173192	2e-79	40%	264
YLL008W	Paxin1_153889	8e-72	36%	251
YLL008W	Paxin1_67654	4e-66	36%	225
YLL009C				
YLL010C	Paxin1_71375	1e-80	63%	246
YLL010C	Paxin1_66889	2e-56	49%	187
YLL010C	Paxin1_166308	6e-29	38%	116
YLL010C	Paxin1_52148	1e-19	31%	88.2
YLL010C	Paxin1_103307	3e-19	30%	88.2
YLL011W	Paxin1_132340	3e-114	38%	343
YLL011W	Paxin1_97605	6e-19	26%	89.7
YLL011W	Paxin1_46511	4e-16	23%	80.1
YLL011W	Paxin1_47022	8e-16	24%	78.6
YLL011W	Paxin1_103567	9e-16	23%	78.2
YLL012W	Paxin1_76947	2e-18	22%	87.4
YLL013C	Paxin1_73487	2e-89	42%	287
YLL013C	Paxin1_164920	7e-53	31%	199
YLL013C	Paxin1_80426	1e-17	26%	86.7
YLL014W				
YLL015W	Paxin1_106999	0.0	39%	897
YLL015W	Paxin1_169874	0.0	33%	631
YLL015W	Paxin1_80058	0.0	36%	625
YLL015W	Paxin1_169871	0.0	33%	619
YLL015W	Paxin1_164142	0.0	31%	614
YLL016W	Paxin1_115260	2e-52	30%	198
YLL016W	Paxin1_154335	2e-47	29%	183
YLL016W	Paxin1_175648	1e-44	29%	175
YLL016W	Paxin1_178279	2e-12	25%	70.1
YLL017W				
YLL018C	Paxin1_5844	0.0	57%	558
YLL018C	Paxin1_169027	3e-28	26%	117
YLL018C	Paxin1_118299	2e-21	24%	96.3
YLL018C	Paxin1_21167	6e-13	23%	70.1
YLL018C-A				
YLL019C	Paxin1_163443	2e-92	36%	296
YLL019C	Paxin1_10082	1e-39	31%	157
YLL019C	Paxin1_70296	4e-39	32%	147
YLL019C	Paxin1_82735	2e-25	28%	109
YLL019C	Paxin1_165459	1e-18	25%	87.8
YLL019W-A				
YLL020C				
YLL021W	Paxin1_168952	3e-14	45%	77.0
YLL022C				
YLL023C	Paxin1_173193	5e-23	27%	94.0
YLL024C	Paxin1_162475	0.0	78%	972
YLL024C	Paxin1_167442	0.0	64%	794
YLL024C	Paxin1_73182	0.0	64%	747
YLL024C	Paxin1_169045	0.0	50%	596
YLL024C	Paxin1_120135	9e-99	59%	302
YLL025W				
YLL026W	Paxin1_64507	0.0	46%	813
YLL026W	Paxin1_171734	3e-113	32%	371
YLL026W	Paxin1_181828	9e-83	43%	279
YLL026W	Paxin1_141380	2e-80	41%	264
YLL026W	Paxin1_103627	3e-79	38%	263
YLL027W	Paxin1_123163	1e-53	57%	170
YLL028W	Paxin1_135671	2e-101	37%	316
YLL028W	Paxin1_100489	2e-98	36%	308
YLL028W	Paxin1_87604	1e-68	31%	229
YLL028W	Paxin1_102271	4e-66	28%	224
YLL028W	Paxin1_172623	1e-62	30%	213
YLL029W	Paxin1_169294	3e-154	40%	461
YLL029W	Paxin1_70797	9e-122	35%	377
YLL029W	Paxin1_12024	3e-65	34%	222
YLL029W	Paxin1_159354	2e-25	43%	103
YLL029W	Paxin1_99624	2e-12	27%	66.6
YLL030C				
YLL031C	Paxin1_108949	1e-102	31%	339
YLL032C	Paxin1_159553	9e-18	29%	87.4
YLL033W				
YLL034C	Paxin1_134976	0.0	55%	741
YLL034C	Paxin1_165843	6e-137	38%	426
YLL034C	Paxin1_155829	7e-120	36%	382
YLL034C	Paxin1_175808	7e-60	42%	219
YLL034C	Paxin1_167524	3e-56	30%	207
YLL035W				
YLL036C	Paxin1_173637	3e-24	25%	104
YLL037W				
YLL038C	Paxin1_173250	4e-17	31%	79.0
YLL039C	Paxin1_82237	0.0	98%	596
YLL039C	Paxin1_5754	7e-67	98%	206
YLL039C	Paxin1_165728	3e-46	96%	155
YLL039C	Paxin1_91823	2e-44	79%	147
YLL039C	Paxin1_171731	2e-42	34%	149
YLL040C	Paxin1_159774	0.0	30%	1352
YLL041C	Paxin1_102545	1e-132	74%	375
YLL041C	Paxin1_172104	3e-131	74%	370
YLL042C				
YLL043W	Paxin1_161922	7e-44	34%	159
YLL043W	Paxin1_9757	6e-39	32%	146
YLL044W				
YLL045C	Paxin1_11484	9e-106	64%	306
YLL045C	Paxin1_159302	2e-62	61%	192
YLL046C				
YLL047W				
YLL048C	Paxin1_163907	0.0	32%	794
YLL048C	Paxin1_106999	0.0	31%	657
YLL048C	Paxin1_164932	0.0	31%	650
YLL048C	Paxin1_169871	0.0	31%	610
YLL048C	Paxin1_169874	0.0	32%	593
YLL049W				
YLL050C				
YLL051C	Paxin1_102629	1e-25	25%	111
YLL051C	Paxin1_102586	5e-25	25%	109
YLL051C	Paxin1_82571	1e-24	26%	107
YLL051C	Paxin1_170918	1e-24	25%	108
YLL051C	Paxin1_14571	1e-23	24%	105
YLL052C				
YLL053C	Paxin1_116132	6e-23	35%	90.9
YLL054C				
YLL055W	Paxin1_167364	2e-75	30%	246
YLL055W	Paxin1_177468	3e-62	30%	211
YLL055W	Paxin1_174659	1e-52	28%	185
YLL055W	Paxin1_93178	3e-42	32%	151
YLL055W	Paxin1_7408	5e-33	30%	128
YLL056C	Paxin1_21126	6e-12	29%	63.2
YLL057C	Paxin1_76879	2e-91	45%	279
YLL057C	Paxin1_159569	3e-86	45%	266
YLL057C	Paxin1_163237	8e-81	43%	251
YLL057C	Paxin1_100168	2e-72	42%	230
YLL058W	Paxin1_171852	5e-85	33%	275
YLL058W	Paxin1_11555	8e-83	32%	269
YLL058W	Paxin1_168943	2e-82	32%	268
YLL058W	Paxin1_133410	4e-82	33%	267
YLL058W	Paxin1_13145	2e-80	31%	264
YLL059C				
YLL060C				
YLL061W	Paxin1_81447	2e-88	35%	282
YLL061W	Paxin1_165046	9e-86	31%	275
YLL061W	Paxin1_10909	6e-79	32%	258
YLL061W	Paxin1_96023	5e-77	32%	253
